Компания,Сайт,Email,Имя ЛПР,Персонализация,Тип факта,Источник,Цитата-подтверждение,Способ,Примечание
ООО АКС,https://акс31.рф/,sale@aks-sale.ru,,Заметил у вас направление «КОМПЛЕКСНОЕ СНАБЖЕНИЕ СТРОИТЕЛЬНЫХ ОБЪЕКТОВ ИНЖЕНЕРНЫМИ СИСТЕМАМИ в Белгороде». На рынке с 2009 года.,product,https://акс31.рф/,КОМПЛЕКСНОЕ СНАБЖЕНИЕ СТРОИТЕЛЬНЫХ ОБЪЕКТОВ ИНЖЕНЕРНЫМИ СИСТЕМАМИ в Белгороде || С 2009 ГОД,факты с сайта,
АО Р-Сталь,https://www.rosmark.ru/,stanok@rosmark.ru,,У вас в новостях: «Рассказываем просто о сложном».,news,https://www.rosmark.ru/,Рассказываем просто о сложном,факты с сайта,
ООО Стилмак,https://www.v-hold.ru/,stanki@v-hold.ru,,Заметил у вас направление «Деревообрабатывающее оборудование и станки для металлообработки от компании LESPT и компании CTMC». На рынке с 2002 года.,product,https://www.v-hold.ru/,Деревообрабатывающее оборудование и станки для металлообработки от компании «LESPT» и компании «CTMC» || основана в 2002 год,факты с сайта,
ООО Инструмент,https://b2b.instrumentgroup.ru/,b2b@instrumentgroup.ru,,Заметил у вас направление «Комплексная поставка промышленного инструмента и техоснастки». Более 30 000 наименований.,product,https://b2b.instrumentgroup.ru/,Комплексная поставка промышленного инструмента и техоснастки || более 30 000 наименований,факты с сайта,
ООО ЕМГ,https://emg.com.ru/,orders@emg.com.ru,,"Заметил у вас направление «ЕМГ - станки с ЧПУ, сервис, ремонт, обучение».",product,https://emg.com.ru/,"ЕМГ - станки с ЧПУ, сервис, ремонт, обучение",факты с сайта,
ООО Авиатехснаб,https://aviats.com/en/,heli@aviats.com,,"Судя по сайту, на рынке с 2003 года, более 25000 наименований.",scale,https://aviats.com/en/,с 2003 год | более 25000 наименований,факты с сайта,
ГКУ МО Центр Занятости населения Московской Области,https://czn.mosreg.ru/main,msr_cznmo@mosreg.ru,,Заметил у вас направление «Более 30 000 предприятий».,product,https://czn.mosreg.ru/main,Более 30 000 предприятий,факты с сайта,
Липецкое станкостроительное предприятие,https://lssp.ru/,promo@lssp.ru,,"Судя по сайту, на рынке с 2004 года.",scale,https://lssp.ru/,с 2004 год,факты с сайта,
ООО Роса,https://rosavl.com/,rop@rosavl.com,,"Судя по сайту, более 5000 позиций.",scale,https://rosavl.com/,более 5000 позиций,факты с сайта,
ООО Пенетрон-Москва,https://penetron-moscow.ru/,info@penetron-moscow.ru,Неверов Константин Сергеевич,Заметил у вас направление «Типовые решения задач гидроизоляции». На рынке с 2009 года.,product,https://penetron-moscow.ru/,Типовые решения задач гидроизоляции || с 2009 год,факты с сайта,
ООО Термекс Энерджи,https://thermexenergy.ru/,info@thermexenergy.ru,Мордовин Михаил Николаевич,"Судя по сайту, производство в Ленобласти.",scale,https://thermexenergy.ru/,завода в Ленобласти,факты с сайта,
КПД-ТЕХНО,https://kpd-techno.ru/,info@kpd-techno.ru,Дионисов Владимир Михайлович,"Судя по сайту, на рынке с 2015 года.",scale,https://kpd-techno.ru/,основана в 2015 год,факты с сайта,
ООО Металл Стор,https://metalstore24.ru/,info@metalstore24.ru,Ерофеев Артем Николаевич,Заметил у вас направление «Металлобаза в Москве: продажа металлопроката».,product,https://metalstore24.ru/,Металлобаза в Москве: продажа металлопроката,факты с сайта,
ООО ХОПЁР СТАЛЬ,https://khoper.ru/,zakaz@khoper.ru,Гулакян Нарек Кароевич,Заметил у вас направление «Хопёр Сталь - металлопрокат оптом».,product,https://khoper.ru/,Хопёр Сталь - металлопрокат оптом,факты с сайта,
Staff-UP Consulting Group,https://staff-up.ru/,sales@staff-up.ru,Олег Лисин Генеральный,Заметил у вас направление «Предоставим первых кандидатов за 48 часов».,product,https://staff-up.ru/,Предоставим первых кандидатов за 48 часов,факты с сайта,
ООО ТРУБА НА СКЛАДЕ.РУ,https://trubanasklade.ru/,zakaz@trubanasklade.ru,Харламов Денис Александрович,Заметил у вас направление «Поставка стальных труб от ведущих производителей». Производство в Челябинске.,product,https://trubanasklade.ru/,Поставка стальных труб от ведущих производителей || складе.ру» Главный офис в Челябинске,факты с сайта,
ООО Добро-Сталь,https://dobro-steel-dv.ru/,info@dobro-steel-dv.ru,Бородкин Семён Александрович,Заметил у вас направление «Металлопрокат в Хабаровске». На рынке с 2022 года.,product,https://dobro-steel-dv.ru/,Металлопрокат в Хабаровске || с 2022 год,факты с сайта,
ООО Группа Компаний Демидов,https://demidovsteel.ru/,zakaz@demidovsteel.ru,Вячеслав Степченков,Заметил у вас направление «Продажа металлопроката оптом и в розницу в г. Москва».,product,https://demidovsteel.ru/,Продажа металлопроката оптом и в розницу в г. Москва,факты с сайта,
Имаклик,https://imaqliq.ru/,sales@imaqliq.ru,Баженов Дмитрий Иванович,Заметил у вас направление «Компания ИМАКЛИК СЕРВИС».,product,https://imaqliq.ru/,Компания «ИМАКЛИК СЕРВИС»,факты с сайта,
ООО МЕЖМЕТКОМ,https://mmk24.ru/,info@mmk24.ru,Барышев Евгений Александрович,"Заметил у вас направление «Труба профильная». Производство в Москве, на рынке с 2008 года.",product,https://mmk24.ru/,"Труба профильная || складах, расположены в Москве | с 2008 год",факты с сайта,
РЭД ВЭЙ,https://red-way.ru/,info@red-way.ru,Емцов Иван Александрович,"Заметил у вас направление «С 2019 года успешно снабжаем предприятия и крупных застройщиков». Производство в Москве, на рынке с 2019 года.",product,https://red-way.ru/,С 2019 года успешно снабжаем предприятия и крупных застройщиков || склад в Москве | С 2019 год,факты с сайта,
ООО Металл регион,https://metall-region.ru/,info@metall-region.ru,Савченкова Любовь Вячеславовна,Заметил у вас направление «Продажа бу трубы в Москве и области от компании Металл Регион».,product,https://metall-region.ru/,"Продажа бу трубы в Москве и области от компании ""Металл Регион""",факты с сайта,
ООО МЕТЭК Краснодар,https://метэк.рф/,info@meteksaratov.ru,Авдеев Максим Константинович,"Судя по сайту, производство в городе Саратов.",scale,https://метэк.рф/,цех ЛАЗЕРНОЙ РЕЗКИ г. Саратов,факты с сайта,
ООО НПП Химметпродукт,https://himmetproduct.ru/,info@himmetproduct.ru,Журавлева Ольга Игоревна,"Увидел, что вы ищете человека на позицию «Менеджер по продажам».",hiring,https://saratov.hh.ru/vacancy/134697018,Менеджер по продажам,факты с сайта,
ООО МК Буран,https://buranmetall.ru/,sales@buranmetall.ru,Уткин Степан Дмитриевич,Заметил у вас направление «Металлургическая компания Буран». Свыше 10000 позиций.,product,https://buranmetall.ru/,Металлургическая компания Буран || Свыше 10000 позиций,факты с сайта,
ООО Группа металлургических компаний Металлтрубпром,http://mtpgroup.ru/,info@mtpgroup.ru,Клементьев Константин Алексеевич,Заметил у вас направление «МЕТАЛЛОКОНСТРУКЦИИ».,product,http://mtpgroup.ru/,МЕТАЛЛОКОНСТРУКЦИИ,факты с сайта,
ВИН-СТАЛЬ,https://win-steel.ru/,info@win-steel.ru,Воробьева Наталья Андреевна,Заметил у вас направление «Металлопрокат в наличии на складах».,product,https://win-steel.ru/,Металлопрокат в наличии на складах,факты с сайта,
ООО Южный завод тяжелого станкостроения,https://uzts-sedin.com/,info@uzts-sedin.com,Батанов Вадим Александрович,Заметил у вас направление «Инвестиционный проект: Южно-российский центр тяжелого станкостроения».,product,https://uzts-sedin.com/,Инвестиционный проект: Южно-российский центр тяжелого станкостроения,факты с сайта,
ООО Битван,https://bitvan.ru/,info@bitvan.ru,Бухарин Данила Алексеевич,Заметил у вас направление «Более 15 лет в сфере металлообработки».,product,https://bitvan.ru/,Более 15 лет в сфере металлообработки,факты с сайта,
ООО Станкопром,https://lasercut.ru/,info@lasercut.ru,Предприниматель Максим Мощук,У вас в новостях: «ЧПУ контроллер нового поколения: новинка от бренда Ruida RDC8445S». У вас направление «Лазерные станки с ЧПУ – каталог оборудования компании Lasercut».,news,https://lasercut.ru/,ЧПУ контроллер нового поколения: новинка от бренда Ruida RDC8445S || Лазерные станки с ЧПУ – каталог оборудования компании Lasercut,факты с сайта,
ООО ЛитПромГарант-НН,https://lpgnn.ru/,zakaz@lpgnn.ru,Колпакова Наталия Михайловна,Заметил у вас направление «Металлообработка производство деталей по чертежам».,product,https://lpgnn.ru/,Металлообработка производство деталей по чертежам,факты с сайта,
ООО ИПК Гелар,https://ipkgelar-m.ru/,sales@ipkgelar-m.ru,Сергей Краснянский Ведущий,Судя по описанию сайта: ИПК Гелар - специализированное предприятие по производству материалов для строительства и ремонта трубопроводов.,profile,https://ipkgelar-m.ru/,ИПК Гелар - специализированное предприятие по производству материалов для строительства и ремонта трубопроводов.,факты с сайта,
ООО Паркс-Инжиниринг,https://parxeng.com/,info@parxeng.com,Кондратов Владислав Дмитриевич,"Судя по сайту, на рынке с 2009 года.",scale,https://parxeng.com/,с 2009 год,факты с сайта,
ООО ТМ Механика,https://tmmeh.ru/,zakaz@tmmeh.ru,Дергунов Алексей Васильевич,"Увидел, что вы ищете человека на позицию «Менеджер по работе с ключевыми клиентами».",hiring,https://saratov.hh.ru/vacancy/135386879,Менеджер по работе с ключевыми клиентами,факты с сайта,
ООО Ишимбайская станкостроительная группа,https://ufastanki.ru/,info@ufastanki.ru,Нагаев Эрнест Хазигалиевич,У вас в новостях: «Новости Ишимбайские станки». У вас направление «Главная Ишимбайские станки».,news,https://ufastanki.ru/,Новости Ишимбайские станки || Главная Ишимбайские станки,факты с сайта,
Hr-formula,https://hr-formula.ru/,sales@hr-formula.ru,Тетюев Сергей,Заметил у вас направление «Закроем любую вакансию за 30 дней или вернем деньги».,product,https://hr-formula.ru/,Закроем любую вакансию за 30 дней или вернем деньги,факты с сайта,
ООО АксесГидро,https://accesshydro.ru/,info@accesshydro.ru,Куликов Илья Львович,"Судя по описанию сайта: Широкий ассортимент компонентов гидропривода: гидронасосы, моторы, клапаны, фильтры и мослоохладители.",profile,https://accesshydro.ru/,"Широкий ассортимент компонентов гидропривода: гидронасосы, моторы, клапаны, фильтры и мослоохладители. Поставки по России, помощь в подборе и быстрая доставка.",факты с сайта,
ИП Еремченков Владимир Владимирович,https://reduktor40.ru/,zakaz@reduktor40.ru,Еремченков Владимир Владимирович,У вас в новостях: «Покупайте больше — платите меньше!». У вас направление «Запчасти для спецтехники».,news,https://reduktor40.ru/,Покупайте больше — платите меньше! || Запчасти для спецтехники,факты с сайта,
ООО Сайнтифик,https://sntf.ru/,info@sntf.ru,,Заметил у вас направление «Предлагаемое оборудование».,product,https://sntf.ru/,Предлагаемое оборудование,факты с сайта,
CARDINAL&MARGO,https://cardinal-hats.ru/,sales@cardinal-hats.ru,,Судя по описанию сайта: Официальный сайт фабрики головных уборов Кардинал и Марго.,profile,https://cardinal-hats.ru/,"Официальный сайт фабрики головных уборов Кардинал и Марго. Женские и мужские шляпы Cardinal&Margo. Шляпы оптом и в розницу: фетр, трикотаж, соломка, экокожа",факты с сайта,
АО Компонент,https://component.ru/,info@component.ru,,Заметил у вас направление «АО Компонент — телекоммуникационное оборудование от производителя с доставкой по России».,product,https://component.ru/,АО “Компонент” — телекоммуникационное оборудование от производителя с доставкой по России,факты с сайта,
ООО Технопромвент,https://tpvent.ru/,info@tpvent.ru,,"Увидел, что вы ищете человека на позицию «Менеджер по продажам оборудования».",hiring,https://saratov.hh.ru/vacancy/134735755,Менеджер по продажам оборудования,факты с сайта,
АО Промхимгрупп,https://promhimgroup.ru/,info@promhimgroup.ru,,Заметил у вас направление «Оборудование для нефтегазопромыслового и химического комплексов. Экологическая модернизация производств».,product,https://promhimgroup.ru/,Оборудование для нефтегазопромыслового и химического комплексов. Экологическая модернизация производств,факты с сайта,
ООО ДАЛКОС,https://dalkos.ru/,sales@dalkos.ru,,Заметил у вас направление «Поставщик промышленного оборудования и инжиниринговых решений».,product,https://dalkos.ru/,Поставщик промышленного оборудования и инжиниринговых решений,факты с сайта,
ООО Нижегородская Промышленная Компания,https://npk-nnov.ru/,info@npk-nnov.ru,,"Увидел, что вы ищете человека на позицию «Менеджер по продаже (промышленная сфера)».",hiring,https://saratov.hh.ru/vacancy/135545423,Менеджер по продаже (промышленная сфера),факты с сайта,
Группа компаний ПНЕВМОТЕХ,https://kompr.ru/,zakaz@kompr.ru,,Судя по описанию сайта: Воздушные компрессоры для производства.,profile,https://kompr.ru/,Воздушные компрессоры для производства,факты с сайта,
ООО Вектор-Баттери,https://vektor-plus.pro/,info@vektor-plus.pro,,"Заметил у вас направление «Поставщик решений для обеспечения электроснабжения, а также накопления и хранения электроэнергии».",product,https://vektor-plus.pro/,"Поставщик решений для обеспечения электроснабжения, а также накопления и хранения электроэнергии",факты с сайта,
ООО Капитал Металл,https://capmetal.ru/,sales@capmetal.ru,,Заметил у вас направление «Капитал Металл - продажа и обработка металлопроката».,product,https://capmetal.ru/,«Капитал Металл» - продажа и обработка металлопроката,факты с сайта,
ООО БВБ-Альянс,https://bvb-alyans.ru/,info@bvb-alyans.ru,,Заметил у вас направление «Металлопрокат — доставка по всей России и в страны СНГ».,product,https://bvb-alyans.ru/,Металлопрокат — доставка по всей России и в страны СНГ,факты с сайта,
ООО Евразийская металлургическая компания,https://www.eamtk.ru/,zakaz@eamtk.ru,,Заметил у вас направление «Сертифицированный прокат от производителя с доставкой по всей России».,product,https://www.eamtk.ru/,Сертифицированный прокат от производителя с доставкой по всей России,факты с сайта,
ООО Металлпартнер,https://metalrostov.ru/,metallpartneranastasia@yandex.ru,,Заметил у вас направление «Металл для любых задач».,product,https://metalrostov.ru/,Металл для любых задач,факты с сайта,
Металлгорсталь,https://metalgorstal.ru/,info@metalgorstal.ru,,Заметил у вас направление «Лучшие цены на металлопрокат». На рынке с 2005 года.,product,https://metalgorstal.ru/,Лучшие цены на металлопрокат || на рынке с 2005 год,факты с сайта,
ООО Континенталь,https://kontinental.ru/,info@kontinental.ru,,"Судя по сайту, производство в Тюмени.",scale,https://kontinental.ru/,офиса в Тюмени,факты с сайта,
ООО ТМК ЮГ,https://tmk-ug.ru/,tmk-ug@yandex.ru,,Заметил у вас направление «Торговый Металлургический Комплекс». Производство в Ростове.,product,https://tmk-ug.ru/,Торговый Металлургический Комплекс || офис продаж в Ростове,факты с сайта,
ООО Первая Металлургическая Корпорация,https://pmkor.ru/,info@pmkor.ru,,У вас в новостях: «Как самостоятельно рассчитать необходимое количество арматуры?».,news,https://pmkor.ru/,Как самостоятельно рассчитать необходимое количество арматуры?,факты с сайта,
ООО ВСМ,https://vsm-metall.ru/,info@vsm-metall.ru,,Заметил у вас направление «Доступный металлопрокат».,product,https://vsm-metall.ru/,Доступный металлопрокат,факты с сайта,
ООО ГК Опора,https://opora55.ru/,info@opora55.ru,,Заметил у вас направление «Опоры трубопроводов от производителя».,product,https://opora55.ru/,Опоры трубопроводов от производителя,факты с сайта,
ООО Моссталь,https://mossteel.com/,info@mossteel.com,,"Судя по описанию сайта: Компания ""Моссталь"" предлагает купить металлопрокат со склада в Москве.",profile,https://mossteel.com/,"Компания ""Моссталь"" предлагает купить металлопрокат со склада в Москве. Компания «Моссталь» является поставщиком металлопроката по всей Москве и МО.",факты с сайта,
ООО Инокспоинт Групп,https://www.inoxpoint.ru/,info@inoxpoint.ru,,Заметил у вас направление «Нержавеющий металлопрокат в Inoxpoint».,product,https://www.inoxpoint.ru/,Нержавеющий металлопрокат в Inoxpoint,факты с сайта,
ООО ТД УралМетСтрой,https://umschel.ru/,zakaz.ums@yandex.ru,,Заметил у вас направление «Комплексная поставка труб». Производство в Челябинске.,product,https://umschel.ru/,Комплексная поставка труб || склада в Челябинске,факты с сайта,
ООО Эльба,https://elba-msk.ru/,info@elba-msk.ru,,Заметил у вас направление «Универсальный поставщик металлопроката».,product,https://elba-msk.ru/,Универсальный поставщик металлопроката,факты с сайта,
ООО Торговый Дом Металл-М,https://metall-m.pro/,info@oootdmm.ru,,"Увидел, что вы ищете человека на позицию «Менеджер по продажам».",hiring,https://saratov.hh.ru/vacancy/135441264,Менеджер по продажам,факты с сайта,
ООО Союзпромснаб,https://s-promsnab.ru/,souzsnab116@yandex.ru,,Заметил у вас направление «Комплексные поставки металлопроката | ООО СоюзПромСнаБ».,product,https://s-promsnab.ru/,"Комплексные поставки металлопроката | ООО ""СоюзПромСнаБ""",факты с сайта,
ООО Стальные Решения,https://tulampz.ru/,info@tigk.ru,,Заметил у вас направление «Тульский Металлопрокатный завод».,product,https://tulampz.ru/,Тульский Металлопрокатный завод,факты с сайта,
ООО АБТ-ГРУПП,https://abt-group.su/,info@abt-group.su,,Заметил у вас направление «Металлопрокат Металлоконструкции Монтаж». На рынке с 2010 года.,product,https://abt-group.su/,Металлопрокат Металлоконструкции Монтаж || с 2010 год,факты с сайта,
ВК Металлоснаб,https://vkmet.ru/,order@vkmet.ru,,"Судя по сайту, на рынке с 2008 года.",scale,https://vkmet.ru/,с 2008 год,факты с сайта,
ООО Трубные Технологии,https://www.tk-rapid.ru/,info@tk-rapid.ru,,"Заметил у вас направление «Производство и продажа стальных и металлических труб». Производство в городе Солнечногорск, на рынке с 2007 года.",product,https://www.tk-rapid.ru/,Производство и продажа стальных и металлических труб || склад в г. Солнечногорск | с 2007 год,факты с сайта,
ООО ЧПУ Технологии,https://cnctechnology.ru/,info@cnctechnology.ru,,Заметил у вас направление «Станки и инструмент для ЧПУ: производство и поставка».,product,https://cnctechnology.ru/,Станки и инструмент для ЧПУ: производство и поставка,факты с сайта,
ООО Рекламное Агентство Граффити-Медиа,https://grafmedia.ru/,info@grafmedia.ru,,Заметил у вас направление «МАРКЕТИНГ ДЛЯ МЕТАЛЛОПРОКАТА И B2B».,product,https://grafmedia.ru/,МАРКЕТИНГ ДЛЯ МЕТАЛЛОПРОКАТА И B2B,факты с сайта,
ООО НПФ Кавиант,https://kaviant.ru/,info@kaviant.ru,,"Судя по сайту, производство в Екатеринбурге.",scale,https://kaviant.ru/,производство в Екатеринбурге,факты с сайта,
ООО НТ-Холдинг,https://nt-tools.ru/,office@nt-tools.ru,,"У вас в новостях: «Инструмент и оборудование». У вас направление «Ремонт промышленного оборудования: инструмент, станки, решения».",news,https://nt-tools.ru/,"Инструмент и оборудование || Ремонт промышленного оборудования: инструмент, станки, решения",факты с сайта,
ООО Гефест,https://gefest-engineering.ru/,sales@gefest-engineering.ru,,Судя по описанию сайта: Подбор и поставка специализированного металлообрабатывающего оборудования и изготовление деталей по чертежам.,profile,https://gefest-engineering.ru/,Подбор и поставка специализированного металлообрабатывающего оборудования и изготовление деталей по чертежам,факты с сайта,
Сайн сервис,https://sign-service.ru/,info@sign-service.ru,,"Заметил у вас направление «Компания САЙН СЕРВИС». Производство в городе Новосибирск, на рынке с 2010 года.",product,https://sign-service.ru/,Компания САЙН СЕРВИС || склад: г. Новосибирск | с 2010 год,факты с сайта,
ООО ЭлитПромРесурс,https://elitpromresurs.ru/,elitpromresurs@gmail.com,,"Увидел, что вы ищете человека на позицию «Менеджер по оптовым продажам смазочных материалов».",hiring,https://saratov.hh.ru/vacancy/134769253,Менеджер по оптовым продажам смазочных материалов,факты с сайта,
HuntX,https://huntx.ru/,info.huntx@gmail.com,,"Заметил у вас направление «Подбираем специалистов под специфику, цели и задачи вашего бизнеса».",product,https://huntx.ru/,"Подбираем специалистов под специфику, цели и задачи вашего бизнеса",факты с сайта,
ООО Солярис,https://solt74.ru/,zakaz@solt74.ru,,Заметил у вас направление «Металлорежущий инструмент».,product,https://solt74.ru/,Металлорежущий инструмент,факты с сайта,
Светсервис,https://svetservis.ru/,mail@svetservis.ru,,Судя по описанию сайта: Светсервис – интернет-магазин электрики | Делаем мир светлее!.,profile,https://svetservis.ru/,Светсервис – интернет-магазин электрики | Делаем мир светлее!,факты с сайта,
ООО М-Инструмент,https://m-inst.ru/,sales@m-inst.ru,,"Судя по сайту, на рынке с 2017 года, более 300 клиентов.",scale,https://m-inst.ru/,с 2017 год | более 300 клиентов,факты с сайта,
ООО ПРОМОЙЛ,https://promoil.com/,office@promoil.com,,Заметил у вас направление «Современные решения для металлообработки». Производство в городе Пермь.,product,https://promoil.com/,Современные решения для металлообработки || офиса Promoil г. Пермь,факты с сайта,
ООО Ковачъ,https://ковачъ.рф/,info@kovach.pro,,"Заметил у вас направление «Качество и профессионализм с 2007 г.». На рынке с 2007 года, более 400 позиций.",product,https://ковачъ.рф/,Качество и профессионализм с 2007 г. || с 2007 г. | Более 400 позиций,факты с сайта,
Комтелэнерго,https://install-ltd.ru/,sales.msk@install-ltd.com,,"Судя по описанию сайта: Узлы крепления, зажимы, натяжная и спиральная арматура, арматура СИП, оборудование для прокладки оптического кабеля и электроснабжения.",profile,https://install-ltd.ru/,"Узлы крепления, зажимы, натяжная и спиральная арматура, арматура СИП, оборудование для прокладки оптического кабеля и электроснабжения. Витая пара, оптические муфты и оптический кабель",факты с сайта,
ООО АРТДЕНТ,https://www.admdental.ru/,info@admdental.ru,,Судя по описанию сайта: CAD/CAM системы и расходные материалы для стоматологии купить в интернет-магазине ADM Dental.,profile,https://www.admdental.ru/,CAD/CAM системы и расходные материалы для стоматологии купить в интернет-магазине ADM Dental,факты с сайта,
LIDER-3D,https://lider-3d.ru/,info@lider-3d.ru,,"Судя по описанию сайта: Интернет-магазин LIDER-3D осуществляет поставки оборудования для 3Д печати, всегда в продаже 3Д принтеры, сканеры, расходные материалы для 3D.",profile,https://lider-3d.ru/,"Интернет-магазин LIDER-3D осуществляет поставки оборудования для 3Д печати, всегда в продаже 3Д принтеры, сканеры, расходные материалы для 3D",факты с сайта,
cutterShop.,https://cutter-shop.ru/,zakaz@cutter-shop.ru,,Заметил у вас направление «Фрезы для ЧПУ с доставкой по России».,product,https://cutter-shop.ru/,Фрезы для ЧПУ с доставкой по России,факты с сайта,
